time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T15:57:56.775Z,61.4051,-150.3843,20,1.6,ml,,,,0.45,ak,ak15888924,2017-05-03T16:02:38.407Z,"26km WSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T15:56:16.990Z,33.4968333,-116.793,4.97,0.8,ml,30,69,0.08271,0.17,ci,ci37638943,2017-05-03T16:47:48.219Z,"8km NE of Aguanga, California",earthquake,0.22,1.27,0.127,23,reviewed,ci,ci
2017-05-03T15:55:30.425Z,61.8623,-150.2341,39.1,2,ml,,,,0.64,ak,ak15888919,2017-05-03T16:00:54.288Z,"16km NW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T15:52:58.530Z,33.487,-116.793,3.44,1.81,ml,59,35,0.09099,0.18,ci,ci37638927,2017-05-03T16:48:49.930Z,"8km NE of Aguanga, California",earthquake,0.16,0.57,0.128,26,reviewed,ci,ci
2017-05-03T15:52:32.990Z,33.4923333,-116.7925,2.29,0.51,ml,21,83,0.08624,0.21,ci,ci37638919,2017-05-03T16:48:21.455Z,"8km NE of Aguanga, California",earthquake,0.3,0.5,0.103,13,reviewed,ci,ci
2017-05-03T15:49:00.580Z,33.5058333,-116.7883333,6.25,0.4,ml,13,105,0.07312,0.15,ci,ci37638911,2017-05-03T16:48:38.112Z,"9km NE of Aguanga, California",earthquake,0.37,1.23,0.07,5,reviewed,ci,ci
2017-05-03T15:47:35.340Z,33.4835,-116.7965,2.86,2.61,ml,88,28,0.09549,0.21,ci,ci37638903,2017-05-03T18:14:14.855Z,"7km NE of Aguanga, California",earthquake,0.17,0.72,0.194,26,automatic,ci,ci
2017-05-03T15:44:55.600Z,33.4838333,-116.801,3.27,3.37,ml,154,24,0.02197,0.22,ci,ci37638895,2017-05-03T18:22:13.945Z,"7km NE of Aguanga, California",earthquake,0.11,0.36,0.178,288,reviewed,ci,ci
2017-05-03T15:16:56.520Z,38.8361664,-122.784668,1.36,0.89,md,16,115,0.004966,0.03,nc,nc72796275,2017-05-03T16:02:02.515Z,"5km WNW of Cobb, California",earthquake,0.26,0.48,0.12,4,automatic,nc,nc
2017-05-03T15:15:46.020Z,34.6758333,-119.5153333,1.67,1.73,ml,19,73,0.1383,0.26,ci,ci37638871,2017-05-03T15:19:29.898Z,"28km NNE of Montecito, California",earthquake,0.58,1.3,0.217,30,automatic,ci,ci
2017-05-03T15:08:51.020Z,47.6638333,-120.1266667,-0.2,0.18,md,4,174,0.121,0.09,uw,uw61277876,2017-05-03T18:08:21.140Z,"4km WNW of Waterville, Washington",earthquake,0.56,9.57,0.238,4,reviewed,uw,uw
2017-05-03T14:47:35.412Z,61.1527,-152.3576,120.5,2.3,ml,,,,0.58,ak,ak15887914,2017-05-03T14:54:07.179Z,"77km NW of Nikiski, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-03T14:40:52.473Z,61.4085,-146.6605,16,2.4,ml,,,,0.79,ak,ak15887909,2017-05-03T14:54:06.910Z,"35km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T14:38:59.658Z,59.773,-136.6668,0,2.4,ml,,,,0.9,ak,ak15887907,2017-05-03T14:45:16.573Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T14:34:41.150Z,38.8436661,-122.8349991,1.2,0.91,md,8,143,0.005084,0.02,nc,nc72796270,2017-05-03T15:37:01.452Z,"10km WNW of Cobb, California",earthquake,0.72,0.48,0.06,3,automatic,nc,nc
2017-05-03T14:25:04.451Z,59.7751,-136.6673,0,2.3,ml,,,,0.9,ak,ak15887900,2017-05-03T14:28:39.368Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T14:01:10.097Z,59.7373,-136.9482,0,3,ml,,,,0.81,ak,ak15887896,2017-05-03T14:07:12.745Z,"97km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T14:00:04.140Z,33.4951667,-116.7906667,4.12,0.32,ml,11,112,0.08303,0.12,ci,ci37638815,2017-05-03T14:03:43.489Z,"9km NE of Aguanga, California",earthquake,0.32,0.66,0.047,8,automatic,ci,ci
2017-05-03T13:56:45.479Z,64.2729,-149.967,2,1.5,ml,,,,0.69,ak,ak15887894,2017-05-03T14:03:13.821Z,"53km SW of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T13:56:24.760Z,33.4886667,-116.7966667,2.56,1.6,ml,62,37,0.09119,0.19,ci,ci37638807,2017-05-03T16:49:57.610Z,"8km NE of Aguanga, California",earthquake,0.17,0.75,0.138,26,reviewed,ci,ci
2017-05-03T13:25:48.340Z,19.6196671,-155.8789978,33.93,2.42,md,52,164,0.03057,0.15,hv,hv61728721,2017-05-03T13:29:31.620Z,"7km E of Holualoa, Hawaii",earthquake,0.63,0.87,0.13,24,automatic,hv,hv
2017-05-03T13:21:45.505Z,59.7757,-136.6865,1.2,2.1,ml,,,,0.9,ak,ak15887889,2017-05-03T13:30:44.779Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T13:20:18.620Z,33.5523333,-116.5881667,15.09,0.79,ml,31,64,0.02066,0.13,ci,ci37638799,2017-05-03T16:49:28.540Z,"7km E of Anza, California",earthquake,0.22,0.3,0.219,23,reviewed,ci,ci
2017-05-03T13:11:35.070Z,36.0533333,-120.6320038,3.76,1.49,md,16,172,0.07545,0.07,nc,nc72796250,2017-05-03T14:27:03.274Z,"26km WSW of Coalinga, California",earthquake,0.56,0.99,0.71,4,automatic,nc,nc
2017-05-03T13:08:40.320Z,34.0456667,-117.2505,17.38,0.81,ml,17,129,0.1008,0.23,ci,ci37638791,2017-05-03T13:12:21.607Z,"1km ESE of Loma Linda, California",earthquake,0.69,1.17,0.187,14,automatic,ci,ci
2017-05-03T13:08:21.420Z,35.872,-83.685,17.66,1.52,md,9,92,0.07844,0.05,se,se60165857,2017-05-03T14:33:12.060Z,"4km ESE of Seymour, Tennessee",earthquake,0.32,0.55,0.155,5,reviewed,se,se
2017-05-03T13:06:40.690Z,33.1465,-116.5113333,7.42,1.06,ml,34,44,0.09749,0.22,ci,ci37638783,2017-05-03T16:51:04.000Z,"11km NE of Julian, California",earthquake,0.34,1.26,0.166,27,reviewed,ci,ci
2017-05-03T12:51:26.263Z,59.7503,-136.6853,0,2.6,ml,,,,0.86,ak,ak15886895,2017-05-03T12:56:21.075Z,"83km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T12:42:48.150Z,-16.136,-73.4694,48.35,5.1,mww,,129,3.724,0.92,us,us10008nt0,2017-05-03T17:46:11.394Z,"97km WNW of Camana, Peru",earthquake,6.9,6.5,,,reviewed,us,us
2017-05-03T12:42:18.610Z,19.222,-155.4035,33.711,2.73,md,55,144,0.01643,0.11,hv,hv61728626,2017-05-03T18:28:59.940Z,"8km ENE of Pahala, Hawaii",earthquake,0.43,0.71,0.157,25,reviewed,hv,hv
2017-05-03T12:36:14.112Z,59.8179,-136.5797,0,2.4,ml,,,,0.89,ak,ak15886892,2017-05-03T12:43:02.092Z,"81km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T12:34:46.860Z,61.7499,-149.6423,43.3,1.6,ml,,,,0.43,ak,ak15886890,2017-05-03T12:37:29.868Z,"14km N of Meadow Lakes, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-03T12:33:06.040Z,59.8271,-136.8253,0,2.4,ml,,,,0.78,ak,ak15886888,2017-05-03T12:37:29.590Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T12:31:56.480Z,38.8358345,-122.8116684,1.59,0.43,md,11,56,0.01248,0.03,nc,nc72796245,2017-05-03T14:01:02.225Z,"7km WNW of Cobb, California",earthquake,0.3,0.8,0.14,2,automatic,nc,nc
2017-05-03T12:29:36.940Z,38.8440018,-122.8396683,1.76,0.69,md,9,114,0.006315,0.03,nc,nc72796240,2017-05-03T13:35:02.505Z,"10km WNW of Cobb, California",earthquake,0.33,0.78,0.09,2,automatic,nc,nc
2017-05-03T12:26:07.603Z,60.2057,-151.0449,81.2,2.1,ml,,,,0.58,ak,ak15886887,2017-05-03T12:30:55.162Z,"23km SE of Cohoe, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-05-03T12:19:15.210Z,33.2248333,-116.1918333,8.67,1.02,ml,36,49,0.06118,0.19,ci,ci37638775,2017-05-03T16:50:03.281Z,"17km ESE of Borrego Springs, California",earthquake,0.29,0.91,0.079,26,reviewed,ci,ci
2017-05-03T12:17:19.060Z,40.0203,-119.7206,20,-0.1,ml,3,247.39,0.11,0.0899,nn,nn00587857,2017-05-03T18:46:59.329Z,"41km N of Spanish Springs, Nevada",earthquake,,3.1,0,1,reviewed,nn,nn
