cx,cy
172,156
172,160
172,164
172,168
172,172
172,176
176,52
176,56
176,60
176,64
176,68
176,72
176,76
176,80
176,84
176,88
176,140
176,144
176,148
176,152
176,156
176,160
176,164
176,168
176,172
176,176
180,56
180,60
180,64
180,68
180,72
180,76
180,80
180,84
180,140
180,144
180,148
180,152
180,156
180,160
180,164
180,168
180,172
180,176
184,48
184,52
184,60
184,64
184,72
184,76
184,80
184,84
184,140
184,144
184,148
184,152
184,156
184,160
184,164
184,168
184,172
184,176
188,48
188,52
188,56
188,60
188,64
188,68
188,72
188,76
188,80
188,84
188,88
188,140
188,144
188,148
188,152
188,156
188,160
188,164
188,168
188,172
188,176
192,20
192,24
192,44
192,48
192,52
192,56
192,60
192,64
192,68
192,72
192,76
192,80
192,84
192,88
192,92
192,96
192,100
192,140
192,144
192,148
192,152
192,156
192,160
192,164
192,168
192,172
192,176
196,20
196,24
196,28
196,40
196,44
196,48
196,52
196,56
196,60
196,64
196,68
196,76
196,80
196,84
196,88
196,92
196,96
196,100
196,104
196,140
196,144
196,148
196,152
196,156
196,160
196,164
196,168
196,172
196,176
200,20
200,24
200,40
200,44
200,48
200,52
200,56
200,60
200,64
200,68
200,72
200,76
200,80
200,84
200,88
200,92
200,96
200,100
200,104
200,108
200,140
200,144
200,148
200,152
200,156
200,160
200,164
200,168
200,172
200,176
204,20
204,40
204,44
204,48
204,52
204,56
204,60
204,64
204,68
204,72
204,76
204,80
204,84
204,88
204,92
204,96
204,100
204,104
204,108
204,140
204,144
204,148
204,152
204,156
204,160
204,164
204,168
204,172
204,176
208,40
208,44
208,48
208,52
208,56
208,60
208,64
208,68
208,72
208,76
208,80
208,84
208,88
208,92
208,96
208,100
208,104
208,140
208,144
208,148
208,152
208,156
208,160
208,164
208,168
208,172
208,176
212,20
212,40
212,44
212,48
212,52
212,56
212,60
212,64
212,68
212,72
212,76
212,80
212,84
212,88
212,92
212,96
212,100
212,136
212,140
212,144
212,148
212,152
212,156
212,160
212,164
212,168
212,172
212,176
216,40
216,44
216,48
216,52
216,56
216,60
216,64
216,68
216,72
216,76
216,80
216,84
216,88
216,92
216,96
216,140
216,144
216,148
216,152
216,156
216,160
216,164
216,168
216,172
216,176
220,44
220,48
220,52
220,56
220,60
220,64
220,68
220,72
220,76
220,80
220,84
220,88
220,96
220,136
220,140
220,144
220,148
220,152
220,156
220,160
220,164
220,168
220,172
220,176
224,16
224,44
224,48
224,52
224,56
224,60
224,64
224,68
224,72
224,76
224,80
224,84
224,88
224,100
224,136
224,140
224,144
224,148
224,152
224,156
224,160
224,164
224,168
224,172
224,176
228,16
228,20
228,40
228,44
228,48
228,52
228,56
228,60
228,64
228,68
228,72
228,76
228,80
228,84
228,96
228,100
228,136
228,140
228,144
228,148
228,152
228,156
228,160
228,164
228,168
228,172
228,176
232,20
232,32
232,36
232,40
232,44
232,48
232,52
232,56
232,60
232,64
232,68
232,72
232,76
232,80
232,132
232,136
232,140
232,144
232,148
232,152
232,156
232,160
232,164
232,168
232,172
232,176
236,16
236,20
236,32
236,36
236,40
236,44
236,48
236,52
236,56
236,60
236,64
236,68
236,72
236,76
236,80
236,132
236,136
236,140
236,144
236,148
236,152
236,156
236,160
236,164
236,168
236,172
236,176
240,16
240,28
240,32
240,40
240,44
240,48
240,52
240,56
240,60
240,64
240,68
240,72
240,76
240,136
240,140
240,144
240,148
240,152
240,156
240,160
240,164
240,168
240,172
240,176
244,16
244,28
244,40
244,44
244,48
244,52
244,56
244,60
244,64
244,68
244,72
244,76
244,136
244,140
244,144
244,148
244,152
244,156
244,160
244,164
244,168
244,172
244,176
248,28
248,36
248,40
248,44
248,48
248,52
248,56
248,60
248,64
248,68
248,72
248,76
248,136
248,140
248,144
248,148
248,152
248,156
248,160
248,164
248,168
248,172
248,176
252,36
252,40
252,44
252,48
252,52
252,56
252,60
252,64
252,68
252,72
252,76
252,80
252,140
252,144
252,148
252,152
252,156
252,160
252,164
252,168
252,172
252,176
256,36
256,40
256,44
256,48
256,52
256,56
256,60
256,64
256,68
256,72
256,76
256,80
256,84
256,140
256,144
256,148
256,152
256,156
256,160
256,164
256,168
256,172
256,176
260,36
260,40
260,44
260,48
260,52
260,56
260,60
260,64
260,68
260,72
260,76
260,80
260,84
260,136
260,140
260,144
260,148
260,152
260,156
260,160
260,164
260,168
260,172
260,176
264,36
264,40
264,44
264,48
264,52
264,56
264,60
264,64
264,68
264,72
264,76
264,136
264,140
264,144
264,148
264,152
264,156
264,160
264,164
264,168
264,172
264,176
268,16
268,32
268,36
268,40
268,44
268,48
268,52
268,56
268,60
268,64
268,68
268,72
268,76
268,136
268,140
268,144
268,148
268,152
268,156
268,160
268,164
268,168
268,172
268,176
272,16
272,20
272,32
272,36
272,40
272,44
272,48
272,52
272,56
272,60
272,64
272,68
272,72
272,76
272,136
272,140
272,144
272,148
272,152
272,156
272,160
272,164
272,168
272,172
272,176
276,16
276,20
276,28
276,32
276,36
276,40
276,44
276,48
276,52
276,56
276,60
276,64
276,68
276,72
276,76
276,80
276,88
276,136
276,140
276,144
276,148
276,152
276,156
276,160
276,164
276,168
276,172
276,176
280,24
280,28
280,32
280,36
280,40
280,44
280,48
280,52
280,56
280,60
280,64
280,68
280,72
280,76
280,80
280,84
280,88
280,132
280,136
280,140
280,144
280,148
280,152
280,156
280,160
280,164
280,168
280,172
280,176
284,24
284,28
284,32
284,36
284,40
284,44
284,48
284,52
284,56
284,60
284,64
284,68
284,72
284,76
284,80
284,84
284,88
284,92
284,136
284,140
284,144
284,148
284,152
284,156
284,160
284,164
284,168
284,172
284,176
288,28
288,32
288,36
288,40
288,44
288,48
288,52
288,56
288,60
288,64
288,68
288,72
288,76
288,80
288,84
288,88
288,92
288,136
288,140
288,144
288,148
288,152
288,156
288,160
288,164
288,168
288,172
288,176
292,28
292,32
292,36
292,40
292,44
292,48
292,52
292,56
292,60
292,64
292,68
292,72
292,76
292,88
292,92
292,100
292,132
292,136
292,140
292,144
292,148
292,152
292,156
292,160
292,164
292,168
292,172
292,176
296,36
296,40
296,44
296,48
296,52
296,56
296,60
296,64
296,68
296,72
296,76
296,88
296,100
296,104
296,108
296,136
296,140
296,144
296,148
296,152
296,156
296,160
296,164
296,168
296,172
296,176
300,36
300,40
300,44
300,48
300,52
300,56
300,60
300,64
300,68
300,72
300,76
300,80
300,84
300,88
300,92
300,100
300,104
300,108
300,136
300,140
300,144
300,148
300,152
300,156
300,160
300,164
300,168
300,172
300,176
304,36
304,40
304,44
304,48
304,52
304,56
304,60
304,64
304,68
304,84
304,96
304,100
304,104
304,108
304,136
304,140
304,144
304,148
304,152
304,156
304,160
304,164
304,168
304,172
304,176
308,36
308,40
308,44
308,48
308,52
308,56
308,60
308,64
308,68
308,72
308,88
308,96
308,100
308,104
308,108
308,136
308,140
308,144
308,148
308,152
308,156
308,160
308,164
308,168
308,172
